"MP Name","Constituency","State","House","Allocated Amount (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Unspent Amount (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Shri C. Sadanandan Master (2025-31)","Nominated Rajya Sabha","Kerala","Rajya Sabha",73500000,0,0,0,35,0,73500000,0,0,0,"N/A"
"Shri Chowdry Mohammad Ramzan (2025-31)","Sitting Rajya Sabha","Jammu And Kashmir","Rajya Sabha",73500000,0,0,0,0,0,73500000,0,0,0,"N/A"
"Shri Christopher Manickam (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,49356476.5,0,0,0,"N/A"
"Shri Constandine Ravindran (2026-32)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49356476.5,0,0,0,0,0,49356476.5,0,0,0,"N/A"
"Shri Mansoor Ali Khan (2026-32)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",49000000,0,0,0,3,0,49000000,0,0,0,"N/A"
"Shri Mallikarjun Kharge (2026-32)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",49063957.11,0,0,0,0,0,49063957.11,0,0,0,"N/A"
"Shri M. Nagaraja (2026-32)","Sitting Rajya Sabha","Karnataka","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Lingamaneni Ramesh (2026-32)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Neeraj Dangi (2026-32)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",49000000,0,0,0,4,0,49000000,0,0,0,"N/A"
"Shri Khiangte Laltluangkima (2026-32)","Sitting Rajya Sabha","Mizoram","Rajya Sabha",24500000,0,0,0,0,0,24500000,0,0,0,"N/A"
"Shri Karamvir Singh Singh Boudh (2026-32)","Sitting Rajya Sabha","Haryana","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Kamal Haasan (2025-31)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",89248285.42,0,0,0,4,0,89248285.42,0,0,0,"N/A"
"Shri Dilip Kumar Ray (2026-32)","Sitting Rajya Sabha","Odisha","Rajya Sabha",49000000,0,0,0,22,0,49000000,0,0,0,"N/A"
"Shri Jogen Mohan (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",49000000,0,0,0,18,0,49000000,0,0,0,"N/A"
"Shri James Pangsang Kongkal Sangma (2026-32)","Sitting Rajya Sabha","Meghalaya","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
